Fecha;Cantidad
2/12/2017;252
3/12/2017;416
5/12/2017;65
6/12/2017;68
7/12/2017;100
8/12/2017;294
9/12/2017;718
10/12/2017;395
12/12/2017;65
13/12/2017;192
14/12/2017;135
15/12/2017;645
16/12/2017;379
17/12/2017;529
18/12/2017;84
19/12/2017;214
20/12/2017;97
21/12/2017;161
22/12/2017;674
23/12/2017;272
26/12/2017;267
27/12/2017;286
28/12/2017;348
29/12/2017;194
30/12/2017;413
2/01/2018;501
3/01/2018;586
4/01/2018;535
5/01/2018;435
6/01/2018;530
7/01/2018;1355
8/01/2018;761
9/01/2018;72
10/01/2018;175
11/01/2018;189
12/01/2018;147
13/01/2018;344
14/01/2018;698
16/01/2018;89
17/01/2018;37
18/01/2018;71
19/01/2018;80
20/01/2018;221
21/01/2018;823
23/01/2018;88
24/01/2018;81
25/01/2018;47
26/01/2018;35
27/01/2018;187
28/01/2018;512
30/01/2018;43
31/01/2018;53
1/02/2018;47
2/02/2018;26
3/02/2018;238
4/02/2018;659
6/02/2018;20
7/02/2018;29
8/02/2018;14
9/02/2018;89
10/02/2018;224
11/02/2018;426
13/02/2018;11
14/02/2018;19
15/02/2018;26
16/02/2018;12
17/02/2018;147
18/02/2018;584
19/02/2018;32
20/02/2018;12
21/02/2018;40
22/02/2018;15
23/02/2018;37
24/02/2018;80
25/02/2018;476
27/02/2018;18
28/02/2018;3
1/03/2018;26
2/03/2018;14
3/03/2018;227
4/03/2018;482
6/03/2018;25
7/03/2018;14
8/03/2018;15
9/03/2018;33
10/03/2018;146
11/03/2018;378
12/03/2018;28
13/03/2018;17
14/03/2018;49
15/03/2018;21
16/03/2018;16
17/03/2018;216
18/03/2018;1411
19/03/2018;1287
21/03/2018;13
22/03/2018;19
23/03/2018;51
24/03/2018;86
25/03/2018;586
26/03/2018;146
27/03/2018;687
28/03/2018;311
29/03/2018;552
30/03/2018;578
31/03/2018;814
1/04/2018;288
2/04/2018;1
3/04/2018;24
4/04/2018;19
5/04/2018;25
6/04/2018;13
7/04/2018;78
8/04/2018;264
10/04/2018;12
11/04/2018;16
12/04/2018;242
13/04/2018;334
14/04/2018;65
15/04/2018;1075
17/04/2018;6
18/04/2018;38
19/04/2018;26
20/04/2018;71
21/04/2018;253
22/04/2018;594
24/04/2018;46
25/04/2018;432
26/04/2018;177
27/04/2018;6
28/04/2018;84
29/04/2018;246
30/04/2018;65
1/05/2018;558
2/05/2018;10
3/05/2018;25
4/05/2018;7
5/05/2018;58
6/05/2018;281
8/05/2018;6
9/05/2018;31
10/05/2018;17
11/05/2018;3
12/05/2018;126
13/05/2018;434
14/05/2018;336
16/05/2018;60
17/05/2018;88
18/05/2018;241
19/05/2018;132
20/05/2018;681
22/05/2018;63
23/05/2018;14
24/05/2018;304
25/05/2018;214
26/05/2018;154
27/05/2018;132
28/05/2018;171
29/05/2018;456
30/05/2018;503
31/05/2018;410
1/06/2018;322
2/06/2018;926
3/06/2018;1082
4/06/2018;642
6/06/2018;392
7/06/2018;327
8/06/2018;47
9/06/2018;266
10/06/2018;1317
11/06/2018;1450
12/06/2018;59
13/06/2018;494
14/06/2018;79
15/06/2018;204
16/06/2018;350
17/06/2018;489
18/06/2018;47
19/06/2018;224
20/06/2018;223
21/06/2018;189
22/06/2018;277
23/06/2018;587
24/06/2018;432
25/06/2018;151
26/06/2018;267
27/06/2018;332
28/06/2018;140
29/06/2018;454
30/06/2018;677
1/07/2018;1892
2/07/2018;1206
4/07/2018;172
5/07/2018;139
6/07/2018;536
7/07/2018;415
8/07/2018;1068
10/07/2018;76
11/07/2018;374
12/07/2018;403
13/07/2018;617
14/07/2018;293
15/07/2018;905
17/07/2018;349
18/07/2018;402
19/07/2018;357
20/07/2018;1264
21/07/2018;863
22/07/2018;781
24/07/2018;556
25/07/2018;438
26/07/2018;68
27/07/2018;503
28/07/2018;316
29/07/2018;1086
31/07/2018;300
1/08/2018;345
2/08/2018;527
3/08/2018;398
4/08/2018;169
5/08/2018;487
7/08/2018;1069
8/08/2018;61
9/08/2018;73
10/08/2018;325
11/08/2018;135
12/08/2018;585
14/08/2018;39
15/08/2018;53
16/08/2018;45
17/08/2018;368
18/08/2018;205
19/08/2018;1469
20/08/2018;1081
22/08/2018;250
23/08/2018;492
24/08/2018;415
25/08/2018;314
26/08/2018;1130
28/08/2018;38
29/08/2018;26
30/08/2018;62
31/08/2018;110
1/09/2018;327
2/09/2018;851
4/09/2018;315
5/09/2018;11
6/09/2018;35
7/09/2018;34
8/09/2018;268
9/09/2018;947
11/09/2018;43
12/09/2018;424
13/09/2018;327
14/09/2018;321
15/09/2018;448
16/09/2018;472
18/09/2018;50
19/09/2018;270
20/09/2018;65
21/09/2018;78
22/09/2018;216
23/09/2018;1000
25/09/2018;490
26/09/2018;284
27/09/2018;60
28/09/2018;119
29/09/2018;397
30/09/2018;514
2/10/2018;46
3/10/2018;33
4/10/2018;13
5/10/2018;245
6/10/2018;234
7/10/2018;764
9/10/2018;115
10/10/2018;253
11/10/2018;147
12/10/2018;407
13/10/2018;319
14/10/2018;1156
15/10/2018;775
17/10/2018;26
18/10/2018;25
19/10/2018;24
20/10/2018;181
21/10/2018;679
23/10/2018;31
24/10/2018;481
25/10/2018;374
26/10/2018;517
27/10/2018;343
28/10/2018;357
29/10/2018;70
30/10/2018;19
31/10/2018;90
1/11/2018;248
2/11/2018;341
3/11/2018;71
4/11/2018;572
5/11/2018;397
7/11/2018;539
8/11/2018;485
9/11/2018;183
10/11/2018;145
11/11/2018;975
12/11/2018;607
14/11/2018;17
15/11/2018;12
16/11/2018;102
17/11/2018;126
18/11/2018;755
20/11/2018;65
21/11/2018;98
22/11/2018;243
23/11/2018;149
24/11/2018;260
27/11/2018;437
28/11/2018;152
29/11/2018;230
30/11/2018;223
1/12/2018;203
2/12/2018;1303
3/12/2018;12
4/12/2018;64
5/12/2018;358
6/12/2018;112
7/12/2018;508
8/12/2018;381
9/12/2018;547
10/12/2018;43
11/12/2018;102
12/12/2018;391
13/12/2018;105
14/12/2018;473
15/12/2018;359
16/12/2018;686
17/12/2018;84
18/12/2018;125
19/12/2018;179
20/12/2018;153
21/12/2018;293
22/12/2018;312
23/12/2018;640
26/12/2018;277
27/12/2018;504
28/12/2018;424
29/12/2018;711
30/12/2018;1020
2/01/2019;600
3/01/2019;810
4/01/2019;650
5/01/2019;866
6/01/2019;1616
7/01/2019;1086
9/01/2019;382
10/01/2019;258
11/01/2019;273
12/01/2019;336
13/01/2019;770
15/01/2019;140
16/01/2019;81
17/01/2019;89
18/01/2019;111
19/01/2019;235
20/01/2019;831
22/01/2019;74
23/01/2019;76
24/01/2019;57
25/01/2019;120
26/01/2019;222
27/01/2019;773
29/01/2019;53
30/01/2019;45
31/01/2019;74
1/02/2019;58
2/02/2019;248
3/02/2019;870
5/02/2019;33
6/02/2019;58
7/02/2019;35
8/02/2019;46
9/02/2019;110
10/02/2019;610
12/02/2019;22
13/02/2019;40
14/02/2019;25
15/02/2019;47
16/02/2019;159
17/02/2019;536
19/02/2019;72
20/02/2019;25
21/02/2019;45
22/02/2019;44
23/02/2019;430
24/02/2019;777
25/02/2019;173
26/02/2019;44
27/02/2019;23
