Date;Cantidad
2017-10-02;331
2017-10-02;14
2017-10-02;100
2017-10-02;3
2017-10-02;2
2017-10-02;1
2017-10-02;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;2
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;1
2017-10-03;2
2017-10-03;2
2017-10-03;1
2017-10-03;13
2017-10-03;349
2017-10-04;2
2017-10-04;1
2017-10-04;334
2017-10-04;12
2017-10-04;1
2017-10-04;1
2017-10-04;1
2017-10-04;1
2017-10-04;1
2017-10-05;294
2017-10-05;17
2017-10-05;11
2017-10-05;1
2017-10-05;4
2017-10-05;1
2017-10-05;1
2017-10-05;4
2017-10-05;1
2017-10-05;1
2017-10-05;1
2017-10-05;1
2017-10-05;5
2017-10-05;1
2017-10-05;2
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;2
2017-10-06;1
2017-10-06;1
2017-10-06;27
2017-10-06;1
2017-10-06;1
2017-10-06;11
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;2
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;1
2017-10-06;2
2017-10-06;17
2017-10-06;294
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;7
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;76
2017-10-07;21
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;14
2017-10-07;7
2017-10-07;1
2017-10-07;2
2017-10-07;8
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
2017-10-07;1
